Hyperparameter Experiment Summary
Started: Thu Jan  8 01:50:03 AM CST 2026
==========================================

Exp#  RAG_top_m    Radius       Acc@1      Acc@3      Acc@5      MRR@5      ADE(km)   
--------------------------------------------------------------------------------
1     1            5            0.5408     0.5714     0.6327     0.5692     0.9051    
2     3            5            0.4796     0.5714     0.6327     0.5386     0.9334    
3     5            5            0.5102     0.5714     0.6429     0.5543     0.9141    
4     10           5            0.5204     0.5816     0.6429     0.5609     0.9068    
5     15           5            0.5000     0.5918     0.6633     0.5611     0.9153    
6     10           3            0.5102     0.5816     0.6531     0.5616     0.8487    
7     10           5            0.5306     0.5918     0.6531     0.5743     0.8986    
8     10           10           0.5510     0.5918     0.6735     0.5886     0.8919    
9     10           15           0.5204     0.5816     0.6531     0.5662     0.9018    
10    10           20           0.4796     0.5918     0.6735     0.5519     0.9137    
